post_id,cmt_content,cmt_author,cmt_created_at
1538290,참 속상하네요.. 차 잘만들어놓고 왜이리 대응이 미온적인지..,우라레I아6I평택,2024-08-13 13:33:00
1538290,"비슷한 영상 얼마전에 본거 같은데,,,",한기훈대구,2024-08-13 13:34:00
1538290,결함이 아니고 부족함이라고 얘기했었죠... 현기는 아직 멀었어요 저런기초적인것도 참,애기아빠I모델yI김포,2024-08-13 13:34:00
1538290,세차 할때 일부로 고압수쪽으로 쏴보기도 하고 폭우때도 모두 점검해봤지만 아무 문제 없네요. 필터 역시 멀쩡하고요! 하지만 혹시나 하는 마음에 블핸가서 작업 받았네요!,예주l오닉6l인천,2024-08-13 13:50:00
1538290,부족함이 계속 진행중이군요,하레vㅣ예정l경기,2024-08-13 13:52:00
1538290,자동차는 뽑기운이 많이 작용하네용.. 다행히 제차는 누수가 없네요.,아이오닉66I전남순천,2024-08-13 14:03:00
1538290,"해외에서는 현기 누수 이슈가 없나요? 설계의 문제인건지, 조립의 문제인건지.",리트리버I니로I서울,2024-08-13 16:06:00
1537907,전 다른것보다 장거리 출퇴근시 오토파일럿이 진짜 편하다는걸 추천드리고싶네요,지너니I모델3l전주,2024-08-13 09:10:00
1537907,장거리 고속주행 필수,하이l모Y폴2l경기,2024-08-13 09:14:00
1537907,오토파일럿은 자율주행 비슷한 건가요?? 찾아보겠습니다. 감사합니다.,장거리lev3l광주,2024-08-13 09:15:00
1537907,돈만 따지면 전기차죠.저도 그 절반 정도 출퇴근하는데 부담이 확실히 적어요,엠리스l아5l전주,2024-08-13 09:12:00
1537907,하루에 톨비만 4천원 넘게 세이브 되네요200키로면 전비 6만 잡아도 35kw 정도 쓸텐데그러면 밤에 완속충전으로 하면 키로와트당 250 잡아도 하루 7천원 한달 출근 20일 20만원 정도네요기름값 40-50 / 톨비 9-10만원씩현행 대비 매달 절약 됩니다.,VELI인천Ii3,2024-08-13 09:13:00
1537907,와~~! 계산 감사합니다. 도움이 많이 됩니당.,장거리lev3l광주,2024-08-13 09:19:00
1537907,저라면 스마트센스 있는 코나로 출퇴근용으로 살거같네요,파랑이I세종,2024-08-13 09:15:00
1537907,ev3에는 없을까요?? ㅠㅠ,장거리lev3l광주,2024-08-13 09:17:00
1537907,ev3가 더 좋죠 ㅎ,하먼l아5l성남,2024-08-13 10:07:00
1537907,전기차 가셔야할 것 같네요,헬짱웅스,2024-08-13 09:17:00
1537907,아무리 생각해도 전기차가 답인데. 요즘 넘 시끄러워서. 주변에서 이 시국에 전기차를 사!? 하는 분위기네요.그래도 저는 필요때문에 어쩔수 없다 생각은 하고 있어요. 다들 비슷하시겠지만요.,장거리lev3l광주,2024-08-13 09:21:00
1537907,200키로 한달에 20일출근 4000키로 1년 5만키로 타시겟네요 저같음 그냥 중고 니로나 코나 전기차 살꺼 같아요 저 키로수 타고 몇년뒤 파실때 가격 떨어질꺼에요 폐차 하실때까지 타시면 모를까...,포터투l l 목포,2024-08-13 09:22:00
